Lib_Name,Source,N_Runs,Mean_Cosine_Similarity,Std_Cosine_Similarity,Median_Cosine_Similarity
ip-regex,top,5,0.8258,0.0106,0.8269
draftjs-to-html,middle,5,0.8255,0.0015,0.8262
ember-pdfjs,bottom,5,0.8254,0.0111,0.8282
react-grid-layout,middle,5,0.8253,0.0074,0.82
node-lru-cache-cluster,bottom,5,0.8252,0.0028,0.8251
babel-preset-es2015-without-strict,middle,5,0.8248,0.0177,0.8167
d3-star-plot,bottom,5,0.8245,0.0024,0.8234
react-paginate,middle,5,0.8242,0.0046,0.8238
levenshtein-edit-distance,middle,5,0.8228,0.004,0.8233
babel-preset-es2015-node6,middle,5,0.8227,0.0285,0.8019
neo-async,top,5,0.8209,0.0055,0.8201
strong-globalize,middle,5,0.8197,0.0058,0.8184
swagger-jsdoc,middle,5,0.8192,0.0315,0.8084
multicast-dns,top,5,0.8192,0.0034,0.8177
js-libp2p-crypto,middle,5,0.8182,0.0027,0.8193
lowercase-keys,top,5,0.8179,0.0037,0.8195
rollup-plugin-babel-minify,middle,5,0.8175,0.0043,0.8177
dynamo-converters,bottom,5,0.8164,0.0011,0.8156
uglifyjs-webpack-plugin,top,5,0.816,0.0132,0.8175
gulp-html-extract,middle,5,0.8155,0.0073,0.8182
babelrc-rollup,middle,5,0.8153,0.0142,0.8112
react-responsive-carousel,middle,5,0.8149,0.0049,0.8167
react-flexbox-grid,middle,5,0.8145,0.0069,0.8185
angular-chart.js,middle,5,0.8144,0.0004,0.8145
express-orm-mvc,bottom,5,0.8139,0.0089,0.8109
ember-cli-admin-languages,bottom,5,0.8138,0.004,0.8156
ice-cap,middle,5,0.8135,0.0289,0.8243
karma-jenkins-reporter,middle,5,0.813,0.0081,0.8091
gulp-mock,bottom,5,0.8118,0.0027,0.8133
express-fluent-logger,bottom,5,0.8117,0.0036,0.8106
react-component-gulp-tasks,middle,5,0.8116,0.0017,0.8109
grunt-date-suffix,bottom,5,0.8102,0.0117,0.8062
karma-tap-reporter,middle,5,0.8096,0.018,0.8061
indexeddb-mock,bottom,5,0.8092,0.0036,0.8083
react-masonry-component,middle,5,0.8089,0.0053,0.8075
verb-tag-jscomments,middle,5,0.8082,0.0103,0.8007
jasmine-jsonpath,bottom,5,0.8081,0.0128,0.8099
eslint-plugin-lodash,middle,5,0.8079,0.0069,0.8073
ansi-escapes,top,5,0.8077,0.0194,0.8202
ember-power-select,middle,5,0.8076,0.0086,0.8121
ember-cli-array-slice,bottom,5,0.8075,0.0085,0.8105
grunt-slm,bottom,5,0.8063,0.0203,0.7936
json-fling,bottom,5,0.8057,0.0027,0.8072
http-proxy-middleware,top,5,0.8048,0.0018,0.8057
angular-router-loader,middle,5,0.8046,0.0116,0.8116
alchemist-hsl,bottom,5,0.8044,0.0023,0.8059
karma-systemjs,middle,5,0.8044,0.0003,0.8041
react-highlight,middle,5,0.8042,0.001,0.8039
void-elements,top,5,0.8041,0.0062,0.8076
react-moment-proptypes,middle,5,0.8041,0.0077,0.8087
markdown-it-abbr,middle,5,0.8041,0.0104,0.8062
ember-cli-jsx,bottom,5,0.8037,0.0054,0.8076
karma-chai-js-factories,bottom,5,0.8032,0.0062,0.8018
babel-preset-power-assert,middle,5,0.8032,0.0036,0.8006
backbone-db-elasticsearch,bottom,5,0.8028,0.0061,0.8021
gulp-istanbul-enforcer,middle,5,0.8022,0.0192,0.8147
angular-sockjs,bottom,5,0.8018,0.0125,0.8037
react-toggle,middle,5,0.8015,0.0016,0.8009
goodscloud-node,bottom,5,0.8011,0.0398,0.7727
markdown-it-sup,middle,5,0.8009,0.004,0.8036
ejs,top,5,0.8,0.0026,0.798
node-benchmarks,bottom,5,0.7997,0.0043,0.8016
gulp-mustache,middle,5,0.7992,0.0367,0.8
ansi-colors,top,5,0.799,0.0081,0.7995
react-native-collapsible,middle,5,0.7987,0.0046,0.8014
html-comment-regex,top,5,0.7986,0.0006,0.7989
grunt-check-pages,middle,5,0.7986,0.0086,0.7935
coreos-cluster,bottom,5,0.7982,0.0026,0.798
arangojs-extended,bottom,5,0.798,0.0171,0.8002
spdx-license-ids,top,5,0.7979,0.0058,0.8013
hammer-draggables,bottom,5,0.7977,0.0099,0.8011
session-file-store,middle,5,0.7976,0.0074,0.8025
gulp-connect-php,middle,5,0.7967,0.0097,0.7963
google-libphonenumber,middle,5,0.7965,0.0087,0.8012
mochawesome-report-generator,middle,5,0.7965,0.0105,0.8012
ember-lodash,middle,5,0.7963,0.0181,0.7967
knex-schema-builder,bottom,5,0.7962,0.0132,0.7922
grunt-neo4j,bottom,5,0.7956,0.0022,0.7949
vector-tile-js,middle,5,0.7953,0.021,0.7839
is-stream,top,5,0.7942,0.0184,0.7885
alphanum-sort,top,5,0.7942,0.0091,0.7972
grunt-template-jasmine-dojo,bottom,5,0.7937,0.0125,0.7903
nativescript-hook,middle,5,0.7936,0.0095,0.7951
arpisea,bottom,5,0.7936,0.0235,0.7947
body-parser,top,5,0.7935,0.0333,0.8112
bili,middle,5,0.7935,0.0145,0.7941
particles.js,middle,5,0.7921,0.0016,0.791
grunt-crowdin,bottom,5,0.7914,0.0161,0.7802
generator-meshblu-connector,bottom,5,0.7904,0.0256,0.8072
lark-router,bottom,5,0.7904,0.017,0.7886
is-binary-path,top,5,0.7902,0.0031,0.7925
hexo-renderer-haml,bottom,5,0.7898,0.0102,0.7901
react-highcharts,middle,5,0.7896,0.0033,0.7914
jisonify,bottom,5,0.7892,0.003,0.7902
Leaflet.MapboxVectorTile,bottom,5,0.7884,0.0121,0.7889
rethinkdbdash,middle,5,0.7873,0.036,0.7811
markdown-it-table-of-contents,middle,5,0.7869,0.0145,0.7888
grunt-xunit,bottom,5,0.7859,0.0068,0.7863
google-maps-services-js,middle,5,0.7848,0.0022,0.7853
redux-localstorage,middle,5,0.7848,0.0047,0.7854
slice-ansi,top,5,0.7838,0.0087,0.787
electron-store,middle,5,0.7834,0.0235,0.7717
geojson-summary,bottom,5,0.7833,0.007,0.7855
eslint-config-peerigon,middle,5,0.7833,0.0087,0.7871
express-batch,bottom,5,0.7828,0.0057,0.7834
imagemin-jpeg-recompress,middle,5,0.7827,0.007,0.7822
browser-pdf-support,bottom,5,0.7822,0.0114,0.7867
element-resize-event,middle,5,0.782,0.0097,0.7766
prom-client,middle,5,0.7818,0.0052,0.781
koa-connect,middle,5,0.7811,0.01,0.7849
dependency-injection,middle,5,0.781,0.0146,0.7876
